Hospital,Average_Billing,Total_Billing,Patient_Count
Abbott Inc,38052.04191741927,38052.04191741927,1
Abbott Ltd,29877.58648308568,29877.58648308568,1
"Abbott Moore and Williams,",24799.596339229447,24799.596339229447,1
"Abbott and Thompson, Sullivan",16738.569764845743,16738.569764845743,1
"Abbott, Peters and Hoffman",18842.39686337706,37684.79372675412,2
"Abbott, Vazquez Bautista and",14117.142638120646,14117.142638120646,1
Abbott-Castillo,18397.74214816412,18397.74214816412,1
Abbott-Coleman,19751.9994965723,19751.9994965723,1
Abbott-Ferrell,99.93357858646812,99.93357858646812,1
Abbott-Hill,13260.139775444237,13260.139775444237,1
Abbott-Jones,49039.70915227963,49039.70915227963,1
Abbott-Martin,45215.61394036474,90431.22788072948,2
Abbott-Rios,35798.34654071335,35798.34654071335,1
Abbott-Wilson,23968.514829222888,23968.514829222888,1
Acevedo Group,25420.53795416327,25420.53795416327,1
"Acevedo Holmes and Rangel,",50150.17160035209,50150.17160035209,1
Acevedo LLC,23600.50094018656,23600.50094018656,1
Acevedo Ltd,32661.429958492317,97984.28987547696,3
Acevedo PLC,34396.551843328074,68793.10368665615,2
"Acevedo Phillips Steele, and",12363.779217776884,12363.779217776884,1
"Acevedo and Ellis, Snyder",33490.59636561047,33490.59636561047,1
"Acevedo and Hart, Hernandez",7148.107174924207,14296.214349848415,2
"Acevedo and Howard Burke,",31015.271353653112,31015.271353653112,1
"Acevedo and Larson Andrews,",34339.761304392174,34339.761304392174,1
"Acevedo and Lewis Barker,",4867.313341198163,4867.313341198163,1
"Acevedo, Jordan and Diaz",23316.68634228724,23316.68634228724,1
"Acevedo, Martin and Price",44587.345383007385,44587.345383007385,1
"Acevedo, Riddle Payne and",22251.997803119422,22251.997803119422,1
Acevedo-Diaz,21431.17077713672,21431.17077713672,1
Acevedo-Goodwin,5900.383817012926,5900.383817012926,1
Acevedo-Henderson,13030.313925258188,13030.313925258188,1
Acevedo-Lawson,30895.505300143963,30895.505300143963,1
Acosta Group,39634.27449370418,118902.82348111253,3
Acosta Inc,20886.30961467085,41772.6192293417,2
Acosta LLC,36088.21857690143,36088.21857690143,1
Acosta Ltd,29925.451579353157,89776.35473805947,3
Acosta PLC,9840.050150714187,9840.050150714187,1
Acosta Sons and,5808.691684830136,5808.691684830136,1
"Acosta Trujillo Davis, and",12344.730229260642,12344.730229260642,1
"Acosta Weeks Yates, and",5036.830970466603,10073.661940933205,2
"Acosta Willis, Martin and",24056.830466205764,24056.830466205764,1
"Acosta and Tapia Evans,",36093.24675820141,36093.24675820141,1
"Acosta, Figueroa Compton and",48430.009165246585,48430.009165246585,1
"Acosta, Gordon Smith and",8416.570135234593,8416.570135234593,1
"Acosta, Miller Martin and",30129.28535233856,30129.28535233856,1
"Acosta, Reed and Guzman",23081.70272792092,23081.70272792092,1
"Acosta, and Martin Torres",17566.317442436448,17566.317442436448,1
"Acosta, and Price Jackson",47389.46992956413,47389.46992956413,1
"Acosta, and Young Morrow",1857.4823482161928,1857.4823482161928,1
Acosta-Barnes,24230.82120560439,24230.82120560439,1
Acosta-Berry,4981.749270524959,4981.749270524959,1
Acosta-Carlson,5321.893272139389,5321.893272139389,1
Acosta-Chambers,4112.213076429774,4112.213076429774,1
Acosta-Clark,29257.71499510026,29257.71499510026,1
Acosta-Davila,10541.956261111503,10541.956261111503,1
Acosta-Dickerson,25091.45012209378,25091.45012209378,1
Acosta-Miller,5783.744159465728,5783.744159465728,1
Acosta-Robertson,37505.61811944835,37505.61811944835,1
Acosta-Smith,4391.133883477857,4391.133883477857,1
Acosta-Taylor,6380.15973035256,6380.15973035256,1
Acosta-Thomas,27692.249691501394,27692.249691501394,1
"Adams Baxter, and Peterson",32989.04415983882,32989.04415983882,1
"Adams Bell Adams, and",35275.93248274162,35275.93248274162,1
Adams Group,27429.114536360325,219432.9162908826,8
Adams Inc,40380.94451940362,80761.88903880725,2
Adams LLC,24422.179350408376,195377.434803267,8
"Adams Lawson, and Fleming",15570.45986036493,15570.45986036493,1
Adams Ltd,14489.224542661459,72446.1227133073,5
"Adams Macias and Arias,",38996.199468143255,38996.199468143255,1
"Adams Marshall, Taylor and",38672.10680843304,38672.10680843304,1
"Adams Morris, and Griffin",31309.30683408816,31309.30683408816,1
"Adams Murphy and Lopez,",20523.142205171545,20523.142205171545,1
"Adams Navarro, Gomez and",44461.76534600743,44461.76534600743,1
"Adams Novak, and James",40543.846537238765,40543.846537238765,1
"Adams Odonnell and Cook,",34444.12005662962,34444.12005662962,1
Adams PLC,26466.80853004742,52933.61706009484,2
"Adams Patterson, Lawrence and",37038.01473688717,37038.01473688717,1
"Adams Patterson, and Pham",41229.72866407604,41229.72866407604,1
"Adams Rivas Duran, and",42637.5254360549,42637.5254360549,1
"Adams Smith Cervantes, and",43564.76970973583,43564.76970973583,1
Adams Sons and,9413.026939349429,18826.053878698858,2
"Adams Torres Nixon, and",16818.56135554929,16818.56135554929,1
"Adams Weaver, and Acosta",30295.743140025097,60591.486280050194,2
"Adams West and Poole,",31473.65280748393,62947.30561496786,2
"Adams Wilson, Newton and",39133.44246789615,39133.44246789615,1
"Adams and Brown Benson,",14697.319017525995,14697.319017525995,1
"Adams and Campos Cooper,",6172.030006797837,12344.060013595674,2
"Adams and Delgado Newman,",27763.57292712363,27763.57292712363,1
"Adams and Everett Garza,",35702.644984281775,35702.644984281775,1
"Adams and Freeman Oneal,",18654.76830880597,18654.76830880597,1
"Adams and Gonzales, Clark",36086.73438534585,36086.73438534585,1
"Adams and Roberts Armstrong,",4431.900318616146,4431.900318616146,1
"Adams and Smith Olson,",41330.29016646662,41330.29016646662,1
Adams and Sons,38225.27874749585,114675.83624248755,3
"Adams and Thomas Williams,",33730.87683699009,33730.87683699009,1
"Adams and White, Smith",45292.62449137888,45292.62449137888,1
"Adams, Bowers Escobar and",49191.64768802146,49191.64768802146,1
"Adams, Christian and Perry",9867.9658229611,9867.9658229611,1
"Adams, Collins Simmons and",22255.44582706606,22255.44582706606,1
"Adams, Hayes and Gardner",14695.314831927071,14695.314831927071,1
"Adams, Hendricks Collins and",8200.785845807444,8200.785845807444,1
"Adams, Mcgee Brown and",33686.047612214,33686.047612214,1
"Adams, Proctor Evans and",26533.25271914112,26533.25271914112,1
"Adams, Randall Powers and",39471.35359322657,39471.35359322657,1
"Adams, Ross Edwards and",35301.14538396975,35301.14538396975,1
"Adams, and Colon Green",9879.0452243556,9879.0452243556,1
"Adams, and Daniels Rogers",2675.0921948494256,5350.184389698851,2
"Adams, and Jackson Greer",37270.26093594889,37270.26093594889,1
"Adams, and Johns Molina",47435.223796436265,47435.223796436265,1
"Adams, and Joseph Williams",48393.46006115488,48393.46006115488,1
"Adams, and Rodriguez Wright",30777.233602625423,30777.233602625423,1
Adams-Bailey,33819.21269661252,33819.21269661252,1
Adams-Barnes,32284.54930969137,32284.54930969137,1
Adams-Bass,27850.552749878643,27850.552749878643,1
Adams-Bell,40135.06214705066,40135.06214705066,1
Adams-Bennett,30363.329771459543,30363.329771459543,1
Adams-Benson,12865.861245365595,12865.861245365595,1
Adams-Best,35296.48395154554,70592.96790309108,2
Adams-Black,4974.767063556936,4974.767063556936,1
Adams-Castillo,28520.940175921573,28520.940175921573,1
Adams-Castro,7562.900610630472,15125.801221260945,2
Adams-Chase,12786.124591628684,12786.124591628684,1
Adams-Clark,27604.697577180872,27604.697577180872,1
Adams-Cortez,12813.979551147811,12813.979551147811,1
Adams-Daugherty,21184.284505461743,21184.284505461743,1
Adams-Dean,20445.47021145058,20445.47021145058,1
Adams-Dominguez,36690.06798578122,36690.06798578122,1
Adams-Ferguson,18181.037889805048,18181.037889805048,1
Adams-Flynn,44196.91302806709,44196.91302806709,1
Adams-Gallegos,34085.7246494997,34085.7246494997,1
Adams-Garza,24312.491917281324,24312.491917281324,1
Adams-Gates,41706.37916833271,41706.37916833271,1
Adams-Gomez,27840.78296724128,27840.78296724128,1
Adams-Hale,31203.1255363022,31203.1255363022,1
Adams-Harper,33690.75511664551,33690.75511664551,1
Adams-Harrington,51055.70560747612,51055.70560747612,1
Adams-Harris,28605.60588639067,28605.60588639067,1
Adams-Henry,15422.665060077768,30845.330120155537,2
Adams-Hicks,31803.71743438902,63607.43486877804,2
Adams-Hinton,50687.82859646523,50687.82859646523,1
Adams-Howard,37664.09137037292,37664.09137037292,1
Adams-Jackson,31875.568921074107,31875.568921074107,1
Adams-Johnson,9478.10589910999,18956.21179821998,2
Adams-Kim,46094.97543990929,92189.95087981859,2
Adams-Krause,51144.91573779364,51144.91573779364,1
Adams-Lee,38656.08286353556,38656.08286353556,1
Adams-Marquez,6114.078262692367,6114.078262692367,1
Adams-Martin,41294.72235846559,82589.44471693118,2
Adams-Massey,43088.55694564542,43088.55694564542,1
Adams-Mcclure,10399.751121895408,10399.751121895408,1
Adams-Mcgrath,9478.332331598753,9478.332331598753,1
Adams-Mendoza,38864.54892403486,38864.54892403486,1
Adams-Mitchell,22922.301783081137,22922.301783081137,1
Adams-Molina,21576.502345538735,21576.502345538735,1
Adams-Nash,35345.735793795095,35345.735793795095,1
Adams-Ortega,10558.404693718234,10558.404693718234,1
Adams-Reynolds,31592.33826099132,31592.33826099132,1
Adams-Rice,22000.878066197944,22000.878066197944,1
Adams-Richardson,18445.498468144004,18445.498468144004,1
Adams-Rodriguez,3467.371607044034,3467.371607044034,1
Adams-Salazar,8622.673688303508,8622.673688303508,1
Adams-Savage,29683.962926094813,29683.962926094813,1
Adams-Simmons,25940.71973777539,51881.43947555078,2
Adams-Smith,30151.502148981363,30151.502148981363,1
Adams-Stewart,8471.173546455668,8471.173546455668,1
Adams-Stuart,28118.435650847365,28118.435650847365,1
Adams-Thompson,27083.225604617703,54166.451209235405,2
